review_body,review_date
"Neeraj, Dinesh, Akshay was excellant on service and their food advises always smily face. Restaurant has lots of food choices, with wonderful aromas. Clean extremly friendly staff make us feel satisfied the trip.","April 13, 2019"
"It was a wonderful experience at the hotel. The staff was very helpful and hospitable. Services were top notch and always on time. Highly recommended. Vaibhav Sharma helped me out with the booking and package and it was wonderful. The gym is also very good and has all that you need. Plus the instructor, Bhagwan Das is very helpful and knowledgeable. Helped me out with workouts and good training tips. Overall great experience and highly recommended.","April 11, 2019"
"Review✓ minimumThe gym and the swimming pool was really beautiful and well maintained. Really liked the service of Lata and Anita. After a good session of work out, headed straight to sauna and it was lovely experience there as well. I thoroughly enjoyed my stay here !","April 10, 2019"
"I had an excellent stay at crown plaza! The breakfast is awesome and so are the rooms. But most importantly the gym instructor Bhagwan Das was absolutely stellar. Great tips, shows you safe ways to workout and an excellent person to talk to! 5 stars for Bhagwan Das!","April 8, 2019"
Food was awesome and ‍ Tapan helped us to decide our dishes and made our day...Manager shruti also took good care of us..The Risotto prepared by chef was delicious ..Gudos to the entire team ,"April 4, 2019"
"I have stayed here twice. Highly recommend it. It's about 45min to an hour from Delhi international airport. The hotel is clean, tidy and orderly. Staff are friendly and the service has always been great. The rooms are generous and comfortable - good beds, linen, plenty of room to lay out luggage - I think we had a king room. Good internet/power points/desk/chair for those who have to work. Bathrooms are spacious and well stocked.The restaurant has a good combination of Indian (veg and non-veg) and European style foods. Chef is only too happy to come and help you put together some great combinations and show you how to eat the amazing Pani Puri! There is also a separate bar to catch up with friends or just chill - good range of drinks.","April 4, 2019"
"Had an excellent stay in Crown plaza. Courteous staff, neat, clean and spacious rooms. Food spread is excellent, Restaurant staff is caring, taste of food is exquisite. Gym and pool facilities are well maintained as well. The gym instructor Lata was quite helpful and ensured adequate support in the gym premises. Overall a very pleasant and memorable experience. Thank you Crown Plaza.","April 3, 2019"
Great arrangements. My contact person Latika ensured all things were in place. She was available all times to reply to my queries and offered solutions.I and my team had a great experience Thanks again,"April 3, 2019"
"We used only the banquet service of the hotel for our conference. It turned out to be well arranged .Good Service by Staff, Ravinder, Nishant, Digamaber Negi and many other unsung heroes in the team. Cheers...","April 3, 2019"
"Great gym and the instructions given by Bhagwan das (instructor) was very good, knew all the details and variations related to exercises, good house keeping , well trained and mannered ,overall a good experience","April 1, 2019"
I would like to appreciate the crown banquet Manager Latika for being so hospitable and helpful. She catered to our demands with regards to conference setup and last minute changes in menu and other things.Also the food served was one of the best in leagues of biggies.Keep up the good work team.,"April 1, 2019"
"We came across this hotel when we were searching for options for business conference, meeting room were good and spacious, also they have assigned us dedicated assistant for the duration. I would also like to appreciate the staff (Kamal, Umendra , Harsh, Digamber)for prompt response and services.","March 30, 2019"
Services were excellent provided by Mr. Bhagwan ji inside gym and steam bath.. Housekeeping was excellent and hotel has really nice infrastructure and awesome swimming pool.. Really looking forward to visit this place again in near future.,"March 30, 2019"
It was amazing experience to stay here. I must recuried to stay here. Housekeeping and gym trainer name bhagwan das and f&b was awesome experience. Must to visit here once in life. Amazing food with lots of options.. Amazing view with pool,"March 29, 2019"
"This is the second time I have stayed at Mayur Vihar and both times I have very much enjoyed my time there.The rooms are clean, spacious and the beds the most comfortable I've ever slept in. The TV has a great range of Movies and TV shows in English.I ate mostly in the Lounge and all the staff there are fantastic and so welcoming, the menu has a good choice.I used the Spa frequently and found they have a wide range of treatments and professional staff.I'm looking forward to staying again in May.","March 29, 2019"
"This is a very pleasant and comfortable hotel. The rooms are elegantly furnished. The beds are extremely comfortable. One of the best features of this hotel was the excellent service provided by the staff.They were extremely accommodating and did their utmost to make sure the stay was pleasant one. We were always treated professionally with warmth, kindness. The dining room was excellent. There were many options on the menu, and everything we ate was freshly prepared and delicious. The service staff in the restaurant are extremely attentive and helpful. They were amazing in that the really took the time to explain the intricacies of Indian food. I look forward to a return visit here.","March 28, 2019"
Had a great workout session with the instructor mr.bhagwan das. Good wuality gym equipment and well maintained temperature. Enjoyed the breakfast buffet. Overall a good place to stay for business travellers.,"March 25, 2019"
"I've just returned from a lunch at Infinity at Crowne Plaza. If you're looking for advice before you to visit this place, here's mine - Don't.We were here for my brother's birthday celebration. We all ordered individual dishes along with non alcoholic drinks. Two of us ordered Cream of Tomato soups. It was need soup and more stale tomato puree with a touch of cream, grainy and with that tinge of staleness. The lemonade tasted of lime cordial and not fresh lemons.The worst was, when they asked us for feedback, and we gave them our opinion, they refused to accept it, saying it is not possible.I will obviously not go back here, and will of course suggest you don't go here either. I have a few discount vouchers for this place - they will stay unused.Also, I want to point out that though they claim to be an accessible hotel, my brother who is on a wheelchair had a tough time. There was no ramp to enter the premises, and the tables were designed most inconveniently.","March 23, 2019"
"We tried the coffee shop at Crowne plaza. Good ambience. Delicious & good no. of dishes on the buffet. Helpful, courteous support staff. Special mention for the mangers on duty Ratan and Narendra. Give the place a try ","March 23, 2019"
nicely done rooms. the breakfast spread was amazing and their eagerness to please you by accommodating special requests from the spread is worth mentioning. one downside was the room service. had ordered a pepper chicken & mix fried rice. could not figure out if i was served a pulao / biryani / fried rice. overall a comfortable stay.,"March 21, 2019"
"Had a great time at fitness center. The trainer was helpful and very informative. They are open 24 hrs and provide special access in after hours.The service in general is awesome including in room dining, guest services. Bhagwandas the gym trainer deserve special mention for great experience and helpful tips. ","March 21, 2019"
"Nice property, welcoming, good food. Offers awesome gym facility, steam and sauna.. Instructor bhagwan das was very helpful and knowledgeable. Pool looks neat and kept neat. House keeping is good too.","March 21, 2019"
"I stayed here for a couple of weeks on business in March before it started to get really hot. The hotel has 24hr security, good rooms, great staff and excellent food. I ate most of the time in the lounge bar so did not try the main restaurant, but the selection of food was excellent nevertheless. Well recommended!","March 19, 2019"
Recently we had the marriage event in Mayur Ball Room. We had booked the complete floor. Mr Nishant Narula had delivered the venue on time with committed deliverables and Chef Mr Shakti was tremondously good. Chef has come to take the feedback multiple times during the event. The food which was prepared for event was much much better than the food tasted at the time of food taste. Everyone praised for the food quality. The chaat prepartion should have been inside the floor reason being with few people takes the pain of going in the back where chaat stalls are there. In the front of the lift area also hotel has the space for chaat counters but the place is very smelly. The hotel staff is very transparent for counting of the plates placed in dining area. Overall management of the entire team was amazing. I would recommend this place for any event.,"March 16, 2019"
"Had my ring ceremony in Crowne Plaza, Mayur Vihar on 18th Feb, 2019 that was a gathering of 500 PaxIt was a memorable experience for me and my guests.Banquet service was very good and all the banquet arrangement s was really good. Special thanks to Mr Nishnat narula, Sales manager who made sure everything went smoothly and was always very helpful throughout the event starting from booking.I must say Mr Nishant Narula & Mr digambher are the great assets to the hotel.Would recommend crown plaza mayur vihar to everyone for a memorable experience","March 16, 2019"
Bhagwan Das was really helpful and made me stay active during the business trip. Hotel overall was a great experience.I would recommend this place for all business travellers to stay and keep yourself in the right environment,"March 13, 2019"
"Great hotel either for business or pleasure. Quality of the rooms is high, breakfast service is a bit chaotic but overall I would recommend. Pool is not heated so in March in the shade, the water is cold!","March 13, 2019"
"Stayed here after a budget hotel stay in old Delhi. Very nice change. The rooms were immaculate, big and comfortable. The lads in the bar are top notch, make an effort to make sure you’re happy and looked after. Also love a chat about sport. Definetly recommend if in need of a bit of luxury.","March 12, 2019"
"Stayed at this IHG property two times (total of seven & half nights) during a recent business trip to India. The location was particularly important for me as my work was in the NOIDA and Ghaziabad areas and Mayur Vihar was ideal to go to either place, considering the Delhi traffic .Made the booking on the IHG app (which works very well). Hotel management gave a discounted airport pick-up - thank you very much. Driver Ashok Yadav was courteous and a good conversationist.Akaash at the front desk ensured a smooth pick-up. The room was standard Crowne Plaza - good enough with a workable wi-fi. However, the bed mattress was not firm and felt worn out due to age. Bed-linen was okay but towels were pale and limp which was a disappointment.Buffet breakfast was very good. Chef Tarun gave personalized service and offered to prepare dishes which otherwise were not part of the spread.The gym was well-equipped and trainers on duty was polite and courteous.For the second stay, we got a room upgrade with the 14th floor Club Lounge access (due to my Gold status). However, the room was no different from the first one. Front desk agent could not explain why it was so. However, the Club Lounge was good though the food available there was somewhat cold (as it had to come from the main kitchen on the ground floor). Management could instal heating equipment to keep food warm. Staff was generally very good, friendly and polite and always ready to help. Overall, an excellent stay. Will surely return whenever in the area.","March 12, 2019"
Over all disappointed with the services of the hotel .I had booked for two nights initially and at the time of check in I was clearly told that I need to decide that moment only whether I am staying for one night or two nights . For which I told them that give me some time as I had a long day and I will let them know in some time but the attendant was adamant that I inform him that time only ..Over all staff was rude .Breakfast was okay .... They had goofed up in the invoice and I had told call them at least 40 times before I could get the invoice .M certainly not going back to the place ...It's been more than a month and they have not added my stay points in my IHG account .Thankfully I decided to stay for only one night ....,"March 9, 2019"
"It was my first time there.I liked the ambience, spacious rooms , good food .Location is a little deterent, but the transport is ample.One of the highlight of this hotel is their staff.A few people like Ajit , Nitin ( Break fast) are the guys who make you feel that you are staying in one of the best places..","March 9, 2019"
"My husband and I had a 2 night stay in this modern, stylish, appealing hotel. We had a large room, with extremely comfortable beds and pillows. It's perhaps one of the most comfortable beds that we've found in any hotel in which we've stayed. The staff were very friendly and efficient. There was a large selection of dishes in the dinner buffet, with choices of mild to hotter dishes, to suit everyone's palate, including the Western one. There was an extensive breakfast buffet as well. We found the hotel to be an oasis of calm from all the hectic traffic & activity outside the hotel perimeter. It's not in a location conducive to going for a stroll outside the hotel grounds. But once inside the gates, it was a wonderful place to stay and relax. There is a busy road next to it and also an above ground section of an underground line alongside the hotel, but we couldn't hear anything from our room. We thoroughly enjoyed our stay.","March 2, 2019"
Great hotelAway from the crowded area Very friendly staff and were willing to assist you with most things Facilities Galore Superb breakfast spread from continental to India Great value for moneyLoved the Stay,"March 1, 2019"
"Stayed 7 nights, the rooms were always clean and smelled great (also loved Bobby, you can see him in the picture attached), the personnel was super nice, and the restaurant has very tasty food (especially for breakfast). Last but not least, if you wish to stay in one night I recommend the lobby lounge for food and drinks - a big shout out to my favourite people working there - Ajay Negi, Lalit and especially Kamal","February 28, 2019"
"Holding our wedding at Crowne Plaza, Mayur Vihar was the best decision we made. We were sckeptical about this at first but the way Nishant and his team took us about the entire process, it felt absolutely hassle free and like a cake walk. Post our discussions and Nishant's hospitality at every visit ,we were rest assured that everything would just be in place and it was (infact even more) on the D day. I would like to thank Our star Chef - Mr. Sohail too who made the wedding meal the most delicious meal we all could ask for. The in-house decor team spearheaded by Ankit as on -point with all the decorations and made the entire venue look like no less than a dream! Thankyou Nishant and team for having made our day indeed the most beautiful day in our lives !","February 26, 2019"
"Room is quite good for a Small Family. I was here for 14 days. Everyone was very understanding . The Room service people especially Bobby was quite helpful and understanding. On the Dinning there are lots of helpful and friendly staff to start from Tarun the chef. Narendra and his boys Nitin, Aashis, Mohit, Akshay, Neeraj, Dinesh are all very understanding and helpful as well. They try to do the best inspite of all the guest. I don't rememer all the names but all of you were great , my aplology for forgetting your name. Thanks Rishi.","February 21, 2019"
"I stayed at this hotel during my recent business trip. I like the ambience and their spacious rooms. I have been to their gym every day and used to get some exercise. Instructor Bhagawan Das is a great guy - he used to teach simple to medium excercises for all body parts. Love going to the gym daily. In case you are staying at this hotel, strongly recommend visiting this gym.","February 19, 2019"
"Excellent team, nishant event handler cooperative personality and temperamentTheir panel members were amazing be it music by aman (karmaa) or decor by amit (Rustling leaves).Extremely happy with the experience.","February 18, 2019"
"The Hotel heavily advertises and pursues people to become a member of the Crystal Club but after becoming a member, the hotel has been less than helpful. For starters, nobody answers the calls on the designated number and when you call the hotel, they refuse to help as the Crystal Club membership is handled by a third party. I raised a request online and I have also made 20+ calls since morning to avail the complementary night stay in the coming week and nobody is responding. Would not recommend this membership to anyone.","February 18, 2019"
"Located convenient to downtown Delhi and a short distance from shopping areas, the Crowne Plaza Mayur Vihar is a perfect option for business travellers to Delhi. The sous chef amazed me with his signature a la carte dishes made on demand. Staff were incredibly polite and helpful. Only bad points were due to a complete mess up on hotel car bookings but we'll forgive them that.","February 13, 2019"
It was good experience..all staff was cooperative and helpful..food was excellent..decoration was awsome..recommended for marriage and other functions..also for small family get togethers..timely rendering of services,"February 12, 2019"
"Had my wedding in Crowne plaza, mayur vihar and stay with them in Feb 2019. It was a memorable experience least to stay. Banquet services were very good and all the banquet arrangements were really good. Special thanks to Mr Nishant, Banquet Sales manager who made sure everything went smoothly and was always very helpful throughout the event starting from booking.Would recommend Crowne plaza to everyone for a memorable experience.Thanks Arpan jain","February 11, 2019"
"Great selection of Malt whiskey&gin tap beer mouth watering food hospitable service Head Punit and his colleagues .Can improve on the outside deck area seating but over 5 star, would be back very shortly thank .","February 10, 2019"
"Landed yesterday evening and so far the stay has been perfect from food and beverage, housekeeping ,concierge etc.Most impressive has been the health club . MR Bhagwan Das the gym instructor has by far been one of my great personal trainer experiences. Starting from day one he got involved in my fitness programme with all corrections to the mistakes I have been doing so far. Sincere thanks to him and other hotel staff.","February 10, 2019"
"Mohit is a very good guy.We fell very comfortable here.He can know what we want. We will come back to this hotel again because of his service.I am a member of IHG group, i have traveled a lot of country before. Mohit give me a very deep impress here.Thank you very much. ＭＯＨＩＴis one of the best employ of the hotel .he servr the berakfast in the infinityas well that was delises he knows about owr ptefrance thanks mohit thanks again.allover experiencewasGoodbut mohit os very good we will be back hare.cloub loung is also very nice and good location from forteen floor quet jon .he knoes about every guest ,His smile is very good for us when we are all tired after hard work at daytime.","February 9, 2019"
"Sorry for writing little late!!!! We stayed during our SATTE visit for two days and the place is fantastic. Though the hotel was pack, the staff tried their level best to provide us with early check in. Front office staff were very helpful. Restaurant team is beyond my words. Escorting us till our table was really really sweet of them. Each and everyone made sure that we ate well. One day one since we were little unhappy as we had ordered for breakfast in our room, but tea and our breakfast was cold but I didnt wanted to make issue out of it as they had taken pain to allot us room but we received the call from hotel for the feedback and i shared my view and immediately hotel staff apologized and informed me that they are sending Cappuccino for us, we didnt take it though but i really appreciated their efforts. All in All we are super happy with the team of Crowne Plaza. Cheers to entire team, keep up the good work guys:)","February 8, 2019"
"We had a lovely stay at the Crowne Plaza - the room was lovely with, quite possibly, the most comfortable bed I’ve slept in! I never wanted to get out of it!The staff were very attentive and friendly. They seemed genuinely interested in our trip and what we had planned.The only slight minus is that it was a bit further out of “downtown” Delhi than we realised, but with taxis at very reasonable prices it wasn’t too much of a problem!Definitely would recommend highly and would stay there again in a flash!","February 8, 2019"
Stayed here from 6th to 9th feb. Liked the overall service of the hotel and services. Specially Mohit was very good in his services in club lounge. Divyansh from sales and marketing -we had a good chat in club lounge during interaction.,"February 8, 2019"
"Great location ,lovely food, pleasant and clean rooms and a very helpful and attentive staff .All of the people were very helpful and generous with their time and advice during an event. A must go to place .","February 7, 2019"
"So I came to this hotel crown plaza for lunch and the restaurant is really nice the ambience is great specially the staff a lady named himani at the front desk came to escort me to the restaurant and briefed me about the restaurant the staff of the restaurant are very humble and genuine especially asha, kamlesh thank you crown plaza for such a lovely experience","February 4, 2019"
In Fitness center Lata was so kind to help me show exercises. Equipments are good in the gym. Cafeteria whole team so good welcoming guests and take special orders as per the Guests's requirement. Room service done everyday and happy to see the room clean when i come back from office.,"February 4, 2019"
"We took a great room rate which included executive room, breakfast, club lounge and airport transfer. Our room was really spacious and comfortable. The buffet breakfast is excellent and all the food and water is safe for Westerners. The club lounge is worth having - there is a good range of wines and spirits and we ate there every evening. The server there, Mohit is very friendly and attentive - he looked after us really well, pouring our drinks as soon as he saw us walk through the door.","February 2, 2019"
"I wanted to give the place Excellent Rating. As the stay and the service are to the Top Notch Level. The only thing why I gave them Very Good Rating is due to the Breakfast options & Food taste in General. The Housekeeping Person Named SUNIL CHAUHAN was excellent with providing timely services, where n when required.Thankyou to the staff n special Thanks Sunil & Himani from Housekeeping for making my Stay very confortable. I would surely recommend this property to everyone who want spacious Rooms with excellent services n Good Food.","February 2, 2019"
Everyone at this hotel is amazing and super helpful.Kamal takes care of everything you need in the lobby bar Rooms are amazing and the blackout curtains are the best. Breakfast has many options...and all are good!,"February 2, 2019"
This is my favorite place to spend time when I'm out of the office. The lobby lounge has a great atmosphere and even better selection. The staff is always very helpful and willing to go the extra mile. Especially Kamal in the lobby lounge.,"February 2, 2019"
"Coffee lounge service was excellent , staff friendly and always willing to help! I would highly recommend this hotel . I enjoy returning time and time again and it is quite amazing how many of the staff remember you, greet you and are so willing to take care of every aspect of your trip!!","February 1, 2019"
Having visited this hotel on many occasions it continues to stand up to the high expectations. Service levels are fantastic and the team cannot do enough for you. Kamal at the lobby lounge has been a great host throughout my stay and Manoj at the entrance always greets you with a smile. This hotel will continue to be my go to place in Noida for business trips. ,"January 30, 2019"
"I wanted to have a couple of dto unwind so I ended up at this lounge which is close by to the place where I was staying. Staff is very cordial and Kamal, the waiter, was excellent with his suggestions for food. Overall great service and good food.","January 29, 2019"
"I had kolkata Frankie roll. They were excellent, service by Kamal!Had couple of beers. I visit here often.They offer good place to relax and enjoy!Visited Elle Spa also, they do good massage.Worth taking membership.","January 28, 2019"
"Was here for a corporate training program as guest facilitator, Liked the room and food was good. Its tough being Vegan but the Chef on call did manage to get my Flaxseed ready for lunch. Almost all dishes were full of cream ad dairy products, even the Veg salad had Cheese and Mayo mixed.The staff was superhelpfull in dining, room service as well as Banquet.I will recommend this to any one having work on this side of the town. Going to main Delhi may take an hour.A big plus for people who like to buy their liquor outside is the Mall behind hotel which has just wine shops :), one also gets spicy tidbits which goes with Drinks.","January 27, 2019"
The rooms are spacious and modern. Hotel Staff very attentive. Restaurant food and staff were the best. Enjoyed dinning with them every breakfast and diner during my stay. Hats off to the wait staff and the cooks - bravo!,"January 26, 2019"
At the hotel waiting for a wedding to start. Kamal made the stay so pleasurable in the lobby lounge. Very informed on wine which was served beautifully cold which is not always the case in India. Many thanks,"January 25, 2019"
This hotel has great customer service. All the staff are friendly and helpful. The Infinity Restaurant staff are very accommodating and Sunil from housekeeping has kept the room very clean. Overall an enjoyable stay!,"January 24, 2019"
"I visited the lobby lounge Bar .it is a nice place .Atmosphere is soothing calm.Sofas and chairs are comfortable.i enjoyed .Boys Lalit ,Kamal and Ajay Negi made the stay plesant by their smiling service .I enjoyed a veg club sandwich ,it was so well prepared and tasty..It is a place you can visit for after office rejuvenation while going home in evening.","January 24, 2019"
"Amazing service from the moment we stepped into the hotel. The staff in the lobby lounge were engaging and talkative, quickly learning my favourite drinks and educating us on Indian language and culture. Special mention to Kamal, Ajay and their supervisor Lalit for going above and beyond each and every night.","January 24, 2019"
"Very good service in the hotel. Kindly received in the lobby lounge by Kamal, Ajay Negi and Lalit who served us excellently. Highly recommend this hotel to any guest to feel right at home. The standards of the rooms and the food in the restaurant are of good quality. ","January 23, 2019"
"We absolutely loved the spa/massage experience. The room was lovely, the shower area relaxing and the personal massage individual was very professional. The bedding was soft, clean and comfortable. The bathrooms were clean & well maintained. The morning breakfast buffet was our favorite part of the hotel. The management, food flavors, drink options and mix of local & international cuisine was perfect! Typical Indian attentiveness was refreshing. The front desk arranged a day tour of downtown for us-with a driver who spoke great English & also had free wifi from the hotel available for us. We had a wonderful experience.","January 23, 2019"
The buffet breakfast and dinner are very sumptuous and with a wide variety of choices.The rooms are spacious and well maintained.Things worth Special mention is the Health club and the staff. Satya - the gym instructor was very helpful did a great job helping and guiding ,"January 22, 2019"
"We use this hotel for our regular business trip. The staff is excellent and always attentive to our needs, sometimes I feel why are they soo customer focused :-p The breakfast staff, the housekeeping, the front desk and our gym instructor Bhagwan (yes, that’s what his name is!) are always attentive and focused. Thanks to Crowne Plaza I have gotten back to my habit of going to the gym every morning (isn’t that something!). So looking forward to my follow up visits.","January 22, 2019"
"Staying for business purposes at the Crowne Plaza.So far having a good time at hotel, very clean - unfortunately the pool is closed and my non-smoking room smells of cigarettes... But that's my only moan.I will review again when I leave.Kamal has been great and very helpful/attentive in the lobby bar.Mohit in the club lounge gave us a great welcome and was also a superb host.","January 22, 2019"
"Wow food was amazing especially the paneer. Kamal served us all night and was friendly, attentive and had a great sense of humour, well worth a visit all of the staff are so friendly. Sadly the pool was closed but it’s a great hotel.","January 22, 2019"
"It is matter of great happiness I chose this property to hold and host the wedding ceremony of my daughter on 17th January, 2019.The professional approach with personal touch & warmth was provided by Mr. Nishant Narula who involved himself with this event as a family member. He has been very very courteous every time he was approached for any small or big thing. Very pleasing personality.Head chef Mr. Shakti has been very kind to suggest the nitty-gritty of the menu. He is an expert to understand type of food we would need and suggest even the spices. Chef Shakti was present to personally supervise the dinner function and oversee everything goes well. Food was excellent. What a personal touch !! Mr. Nishant Narula & Chef Shakti are the great assets to the hotel.Mr. Digamber took over the entire process for smooth coordination and execution during the whole night-thru' event, with big smile. He provided everything that was asked in a very short time. What a back-up support !! Commendable indeed !!Mr. Lalit provided the floral decor. He is very mature & calm person. He understood our requirement very well. Stage, entry gate, photo-booth all floral decor & ambiance has been a great visual delight. He was able to execute our imagination into reality. He did a commendable job.Security in-charge Mr. Praveen Sehrawat provided close watch on all round security aspects during the entire event. Superb!!To top-up the pleasure, The General Manager of the Hotel Mrs. Nivedita Avasthi came to see the arrangements herself during the day, to ensure the function goes well. My full appreciation to the management.ALL MY GUESTS HAVE NOT ONLY GONE VERY HAPPY BUT ALSO HAVE GIVEN THEIR FEEDBACK OF THE EXCELLENT ARRANGEMENTS & SUMPTUOUS FOOD.WHAT A PLEASANT ALL ROUND EXPERIENCE, CONVERTED INTO A GREAT MEMOIR !!","January 21, 2019"
Stayed at Hyatt regency. Very dull experience. Crowne Plaza on the other hand was wonderful. Staff showed great attention to detail. Bhagawan Das in Gym area showed around all the amenities and made experience comfortable. Highly recommend.,"January 19, 2019"
